23-May-21 20:54:33,419|INFO |L.init             |main                       |Lightstreamer Server 7.1.2 build 1985
23-May-21 20:58:16,395|INFO |L.requests         |SERVER POOLED THREAD 9     |Attaching session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,586|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: control -> LS_mode=MERGE&LS_group=monitor_statistics&LS_schema=CLIENTS.SESSIONS%20CLIENTS.STREAMING_SESSIONS%20CLIENTS.POLLING_SESSIONS%20CLIENTS.CONNECTIONS%20PUSH_NOTIFICATIONS.DEVICES%20MEMORY.TOTAL%20POOL.QUEUE%20THREADS%20POOL.ACTIVE%20POOL.WAITING%20MEMORY.FREE%20POOL.SIZE%20CLIENTS.MAX_SESSIONS%20CLIENTS.MAX_CONNECTIONS%20PUSH_NOTIFICATIONS.MAX_DEVICES%20CLIENTS.ITEM_SUBSCR%20ITEMS.TOTAL%20UPDATES.EVENTS_SEC%20UPDATES.TOTAL_OUT%20UPDATES.TOTAL_LOST%20BANDWIDTH.CURRENT%20BANDWIDTH.TOTAL_BYTES%20PUSH_NOTIFICATIONS.NOTIFICATIONS_SEC%20PUSH_NOTIFICATIONS.TOTAL_SENT%20PUSH_NOTIFICATIONS.CURRENT_THROUGHPUT%20PUSH_NOTIFICATIONS.TOTAL_BYTES%20MESSAGES.EVENTS_SEC%20MESSAGES.TOTAL_HANDLED%20MESSAGES.CURRENT_THROUGHPUT%20MESSAGES.TOTAL_BYTES%20ITEMS.EVENTS_SEC%20UPDATES.TOTAL_IN&LS_snapshot=true&LS_subId=1&LS_op=add&LS_reqId=1&LS_session=Sa89497732f10f417Mef1T5816119& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,587|INFO |L.requests         |SERVER POOLED THREAD 2     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,588|INFO |L.requests         |SERVER POOLED THREAD 5     |Serving multiple request: control -> {3 subrequests} on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,588|INFO |L.requests         |SERVER POOLED THREAD 5     |Subrequest 1: LS_mode=MERGE&LS_group=monitor_identification&LS_schema=STARTUP_TIME%20EDITION%20LICENSE_TYPE%20LOCAL_HOST%20VERSION%20LOCAL_IP%20CLIENT_ID%20DASHBOARD_IS_PUBLIC&LS_snapshot=true&LS_subId=2&LS_op=add&LS_reqId=3& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,588|INFO |L.requests         |SERVER POOLED THREAD 5     |Subrequest 2: LS_mode=MERGE&LS_group=monitor_local_socket&LS_schema=SERVER_NAME%20LOCAL_PORT&LS_snapshot=true&LS_subId=3&LS_op=add&LS_reqId=5& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,588|INFO |L.requests         |SERVER POOLED THREAD 5     |Subrequest 3: LS_mode=MERGE&LS_group=monitor_identification&LS_schema=EDITION%20LICENSE_TYPE%20CLIENT_ID&LS_snapshot=true&LS_subId=4&LS_op=add&LS_reqId=7& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,590|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,591|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,592|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,665|INFO |L.requests         |SERVER POOLED THREAD 2     |Serving request: control -> LS_mode=MERGE&LS_group=monitor_details&LS_schema=MAX_SSNS%20IS_MPN%20EXP_DATE%20MAX_RATE%20BAND%20TLS%20JMX%20VAL_TYPE&LS_snapshot=true&LS_subId=5&LS_op=add&LS_reqId=9& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,666|INFO |L.requests         |SERVER POOLED THREAD 2     |Serving request: control -> LS_mode=COMMAND&LS_group=monitor_client_libs&LS_schema=key%20command%20lib_ext%20free%20demo%20eval%20startup%20noprod-lim%20noprod-full%20prod%20standby%20ordinal&LS_snapshot=true&LS_subId=6&LS_op=add&LS_reqId=11& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,668|INFO |L.requests         |SERVER POOLED THREAD 2     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:16,669|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:26,225|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: control -> LS_mode=DISTINCT&LS_group=monitor_log_error&LS_schema=TIME_MS%20MESSAGE%20THREAD%20COUNTER&LS_snapshot=false&LS_requested_max_frequency=unlimited&LS_requested_buffer_size=25&LS_subId=7&LS_op=add&LS_reqId=13& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:26,226|INFO |L.requests         |SERVER POOLED THREAD 4     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:26,228|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: control -> LS_mode=DISTINCT&LS_group=monitor_log_warning&LS_schema=TIME_MS%20MESSAGE%20THREAD%20COUNTER&LS_snapshot=false&LS_requested_max_frequency=unlimited&LS_requested_buffer_size=25&LS_subId=8&LS_op=add&LS_reqId=15& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:26,229|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: control -> LS_mode=DISTINCT&LS_group=monitor_log_info&LS_schema=TIME_MS%20CLIENT.IP%20CLIENT.NAME%20MESSAGE%20COUNTER&LS_snapshot=false&LS_requested_max_frequency=unlimited&LS_requested_buffer_size=25&LS_subId=9&LS_op=add&LS_reqId=17& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:26,230|INFO |L.requests         |SERVER POOLED THREAD 10    |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:26,231|INFO |L.requests         |SERVER POOLED THREAD 9     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:27,188|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: control -> LS_subId=7&LS_op=delete&LS_reqId=19& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:27,189|INFO |L.requests         |SERVER POOLED THREAD 10    |Serving request: control -> LS_subId=8&LS_op=delete&LS_reqId=20& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:27,189|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: control -> LS_subId=9&LS_op=delete&LS_reqId=21& LS_session:Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:27,190|INFO |L.requests         |SERVER POOLED THREAD 9     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:27,191|INFO |L.requests         |SERVER POOLED THREAD 9     |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:27,192|INFO |L.requests         |SERVER POOLED THREAD 10    |Controlling session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 20:58:39,871|INFO |streamerMonitorText|Timer-1                    |Total threads = 92, Total heap = 41943040 (free = 19233560), Sessions = 3 (max = 4, refused = 0), New sessions = [+1, -2], Connections = 9 (max = 10), New connections = [+5, -2], In-pool threads = 32, Active threads = 0, Available threads = 32, Queued tasks = 0, Pool queue wait = 0, NIO write queue = 0, NIO write queue wait = 0, NIO write selectors = 4, NIO total selectors = 16, Subscribed items = 14 (for 18 subscriptions), Inbound throughput = 12.49 updates/s (pre-filtered = 12.49), Outbound throughput = 11.99 updates/s (9.27 kbit/s, max = 27.23), Lost updates = 0 (total = 0), Total bytes sent = 189728, Client messages throughput = 0 msgs/s (0 kbit/s, max = 0.08), Total messages handled = 3, Extra sleep = 0, Notify delay = 0
23-May-21 21:00:39,909|INFO |streamerMonitorText|Timer-1                    |Total threads = 93, Total heap = 41943040 (free = 24127328), Sessions = 3 (max = 4, refused = 0), New sessions = [+0, -0], Connections = 3 (max = 10), New connections = [+0, -6], In-pool threads = 32, Active threads = 0, Available threads = 32, Queued tasks = 0, Pool queue wait = 0, NIO write queue = 0, NIO write queue wait = 0, NIO write selectors = 4, NIO total selectors = 16, Subscribed items = 14 (for 18 subscriptions), Inbound throughput = 14.99 updates/s (pre-filtered = 14.99), Outbound throughput = 14.49 updates/s (10.67 kbit/s, max = 27.23), Lost updates = 0 (total = 0), Total bytes sent = 248173, Client messages throughput = 0 msgs/s (0 kbit/s, max = 0.08), Total messages handled = 3, Extra sleep = 0, Notify delay = 0
23-May-21 21:02:39,941|INFO |streamerMonitorText|Timer-1                    |Total threads = 92, Total heap = 41943040 (free = 12888600), Sessions = 3 (max = 4, refused = 0), New sessions = [+0, -0], Connections = 3 (max = 10), New connections = [+0, -0], In-pool threads = 32, Active threads = 0, Available threads = 32, Queued tasks = 0, Pool queue wait = 0, NIO write queue = 0, NIO write queue wait = 0, NIO write selectors = 4, NIO total selectors = 16, Subscribed items = 14 (for 18 subscriptions), Inbound throughput = 14 updates/s (pre-filtered = 14), Outbound throughput = 14 updates/s (10.44 kbit/s, max = 27.23), Lost updates = 0 (total = 0), Total bytes sent = 306328, Client messages throughput = 0 msgs/s (0 kbit/s, max = 0.08), Total messages handled = 3, Extra sleep = 0, Notify delay = 0
23-May-21 21:03:12,188|INFO |L.requests         |SERVER POOLED THREAD 4     |Serving request: control -> LS_op=destroy&LS_session=Sa89497732f10f417Mef1T5816119&LS_reqId=22&LS_cause=suicide& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 21:03:12,188|INFO |L.requests         |SERVER POOLED THREAD 4     |Destroying session: Sa89497732f10f417Mef1T5816119 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:58718
23-May-21 21:03:12,189|INFO |L.requests         |SERVER POOLED THREAD 4     |Closed session Sa89497732f10f417Mef1T5816119 with internal cause code: 31 (Destroy invoked by client).
23-May-21 21:04:28,879|INFO |L.init             |Thread-19                  |Shutdown requested by script, or via JMX.
23-May-21 21:04:28,881|INFO |L.init             |LightstreamerShutdownHook  |Server shutdown requested.
23-May-21 21:04:28,881|INFO |L.init             |LightstreamerShutdownHook  |Exiting.....
23-May-21 21:10:22,747|INFO |L.init             |main                       |Lightstreamer Server 7.1.2 build 1985
23-May-21 21:10:22,755|INFO |L.init             |main                       |Server launched on Java Virtual Machine: Oracle Corporation, OpenJDK 64-Bit Server VM, 16.0.1+9-24, 16.0.1+9-24 on Windows 10
23-May-21 21:10:22,775|INFO |L.license          |main                       |License correctly bound with the following parameter(s):
23-May-21 21:10:22,775|INFO |L.license          |main                       |        Product                          : LS-SERVER
23-May-21 21:10:22,776|INFO |L.license          |main                       |        Edition                          : COMMUNITY
23-May-21 21:10:22,777|INFO |L.license          |main                       |        License Type                     : FREE
23-May-21 21:10:22,777|INFO |L.license          |main                       |        Contract Id                      : -
23-May-21 21:10:22,779|INFO |L.init             |main                       |Client API enabled for COMMUNITY edition: Web Client API
23-May-21 21:10:22,997|INFO |L.init             |main                       |Number of detected cores: 4
23-May-21 21:10:22,998|INFO |L.init             |main                       |Lightstreamer Server starting in COMMUNITY edition.
23-May-21 21:10:23,120|WARN |L.init             |main                       |Only minimal JMX management support is available with the current license.
23-May-21 21:10:23,238|INFO |L.init             |main                       |Started RMI server for JMX on port 8888.
23-May-21 21:10:23,249|INFO |L.init             |ng of RMI Connector for JMX|Binding of RMI Connector for JMX on port 8888 (communication on port 8888) started...
23-May-21 21:10:23,359|INFO |L.init             |ng of RMI Connector for JMX|Binding of RMI Connector for JMX on port 8888 (communication on port 8888) successful.
23-May-21 21:10:23,363|INFO |L.init             |Connector reachability test|Test of reachability of the JMX Connector at localhost:8888 started...
23-May-21 21:10:23,402|INFO |L.init             |Connector reachability test|Test of reachability of the JMX Connector at localhost:8888 successful.
23-May-21 21:10:23,564|INFO |L.init             |nnector for Platform mbeans|Binding of RMI Connector for Platform mbeans on port 8888 (communication on port 8888) started...
23-May-21 21:10:23,570|INFO |L.init             |nnector for Platform mbeans|Binding of RMI Connector for Platform mbeans on port 8888 (communication on port 8888) successful.
23-May-21 21:10:23,575|INFO |L.init             |main                       |SERVER pool size set by default at 1000.
23-May-21 21:10:23,576|INFO |L.init             |main                       |ACCEPT pool size set by default at 4.
23-May-21 21:10:23,606|INFO |L.init             |main                       |Queue limit checks for SERVER pool added to checks for ACCEPT pool.
23-May-21 21:10:23,664|INFO |L.init             |main                       |data_provider element without name attribute; using DEFAULT as the default name.
23-May-21 21:10:23,703|INFO |L.init             |Init for WELCOME           |Loading Metadata Adapter for Adapter Set WELCOME
23-May-21 21:10:23,703|INFO |L.init             |Init for HELLOWORLD        |Loading Metadata Adapter for Adapter Set HELLOWORLD
23-May-21 21:10:23,736|INFO |L.init             |Init for HELLOWORLD        |Finished loading Metadata Adapter for Adapter Set HELLOWORLD
23-May-21 21:10:23,740|INFO |L.init             |Init for HELLOWORLD.DEFAULT|Loading Data Adapter HELLOWORLD.DEFAULT
23-May-21 21:10:23,745|INFO |L.init             |Init for HELLOWORLD.DEFAULT|Finished loading Data Adapter HELLOWORLD.DEFAULT
23-May-21 21:10:24,506|INFO |L.init             |Init for WELCOME           |Finished loading Metadata Adapter for Adapter Set WELCOME
23-May-21 21:10:24,510|INFO |L.init             |Init for WELCOME.STOCKS    |Loading Data Adapter WELCOME.STOCKS
23-May-21 21:10:24,510|INFO |L.init             |Init for WELCOME.ROOMBALL  |Loading Data Adapter WELCOME.ROOMBALL
23-May-21 21:10:24,510|INFO |L.init             |Init for WELCOME.CHAT      |Loading Data Adapter WELCOME.CHAT
23-May-21 21:10:24,510|INFO |L.init             |Init for WELCOME.TELEMETRY |Loading Data Adapter WELCOME.TELEMETRY
23-May-21 21:10:24,522|INFO |L.init             |Init for WELCOME.TELEMETRY |Finished loading Data Adapter WELCOME.TELEMETRY
23-May-21 21:10:24,523|INFO |L.init             |Init for WELCOME.STOCKS    |Finished loading Data Adapter WELCOME.STOCKS
23-May-21 21:10:24,525|INFO |L.init             |Init for WELCOME.CHAT      |Finished loading Data Adapter WELCOME.CHAT
23-May-21 21:10:24,527|INFO |L.init             |Init for WELCOME.ROOMBALL  |Finished loading Data Adapter WELCOME.ROOMBALL
23-May-21 21:10:24,534|INFO |L.init             |main                       |Events pool size set by default at 4.
23-May-21 21:10:24,537|INFO |L.init             |main                       |Snapshot pool size set by default at 10.
23-May-21 21:10:24,598|WARN |L.init             |main                       |THE MONITORING DASHBOARD IS NOT PASSWORD PROTECTED. Remember to protect it in production! For more details, see PRODUCTION_SECURITY_NOTES.TXT.
23-May-21 21:10:24,640|INFO |L.init             |main                       |Pump pool size set by default at 4.
23-May-21 21:10:24,650|INFO |L.init             |main                       |Selector pool size set by default at 4.
23-May-21 21:10:24,650|INFO |L.init             |main                       |Selector maximum load set by default at 0.
23-May-21 21:10:24,682|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 1.
23-May-21 21:10:24,686|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 2.
23-May-21 21:10:24,689|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 3.
23-May-21 21:10:24,693|INFO |L.init             |main                       |Created selector thread: NIO TLS/SSL HANDSHAKE SELECTOR 4.
23-May-21 21:10:24,702|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 1.
23-May-21 21:10:24,705|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 2.
23-May-21 21:10:24,709|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 3.
23-May-21 21:10:24,713|INFO |L.init             |main                       |Created selector thread: NIO WRITE SELECTOR 4.
23-May-21 21:10:24,719|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 1.
23-May-21 21:10:24,725|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 2.
23-May-21 21:10:24,730|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 3.
23-May-21 21:10:24,734|INFO |L.init             |main                       |Created selector thread: NIO READ SELECTOR 4.
23-May-21 21:10:24,738|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 1.
23-May-21 21:10:24,742|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 2.
23-May-21 21:10:24,747|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 3.
23-May-21 21:10:24,750|INFO |L.init             |main                       |Created selector thread: NIO CHECK SELECTOR 4.
23-May-21 21:10:24,757|INFO |L.init             |main                       |Lightstreamer Server initialized.
23-May-21 21:10:24,757|INFO |L.init             |main                       |Lightstreamer Server 7.1.2 build 1985 starting...
23-May-21 21:10:24,778|INFO |L.init             |r Lightstreamer HTTP Server|Session creation on socket Lightstreamer HTTP Server bound to any queue limits for SERVER pool.
23-May-21 21:10:24,779|INFO |L.init             |main                       |Server "Lightstreamer HTTP Server" listening to *:8080 ...
23-May-21 21:10:25,072|INFO |streamerMonitorText|Timer-1                    |Total threads = 76, Total heap = 134217728 (free = 90484368), Sessions = 0 (max = 0, refused = 0), New sessions = [+0, -0], Connections = 0 (max = 0), New connections = [+0, -0], In-pool threads = 32, Active threads = 0, Available threads = 32, Queued tasks = 0, Pool queue wait = 0, NIO write queue = 0, NIO write queue wait = 0, NIO write selectors = 4, NIO total selectors = 16, Subscribed items = 0 (for 0 subscriptions), Inbound throughput = 0 updates/s (pre-filtered = 0), Outbound throughput = 0 updates/s (0 kbit/s, max = 0), Lost updates = 0 (total = 0), Total bytes sent = 0, Client messages throughput = 0 msgs/s (0 kbit/s, max = 0), Total messages handled = 0, Extra sleep = 0, Notify delay = 0
23-May-21 21:10:41,079|INFO |L.requests         |SERVER POOLED THREAD 8     |Serving request: /lightstreamer/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=2501&LS_cause=new.api&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_adapter_set=WELCOME& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60063
23-May-21 21:10:41,323|INFO |L.requests         |SERVER POOLED THREAD 8     |Starting new session: S43bac421f534b4f9M95dT1041250 (javascript_client 8.0.2 build 1797) on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60063
23-May-21 21:10:41,472|INFO |L.requests         |SERVER POOLED THREAD 8     |Serving request: /lightstreamer/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=5801&LS_cause=new.api&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_requested_max_bandwidth=100&LS_adapter_set=MONITOR&LS_user=z&LS_password=[...]& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60063
23-May-21 21:10:41,480|INFO |L.requests         |SERVER POOLED THREAD 9     |Starting new session: Sd47e3249d5e9073aM95dT1041478 (javascript_client 8.0.2 build 1797) on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60063
23-May-21 21:10:41,654|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: bind_session -> LS_session=Sd47e3249d5e9073aM95dT1041478&LS_phase=5803&LS_cause=loop1& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:41,655|INFO |L.requests         |SERVER POOLED THREAD 7     |Serving request: bind_session -> LS_session=S43bac421f534b4f9M95dT1041250&LS_phase=2503&LS_cause=loop1& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,658|INFO |L.requests         |SERVER POOLED THREAD 7     |Attaching session: S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,658|INFO |L.requests         |SERVER POOLED THREAD 9     |Attaching session: Sd47e3249d5e9073aM95dT1041478 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:41,756|INFO |L.requests.messages|SERVER POOLED THREAD 7     |Serving request: msg -> LS_unq=80&LS_reqId=7&LS_sequence=Nick&LS_max_wait=3000&LS_msg_prog=1&LS_message=n|Guest208 LS_session:S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,765|INFO |L.requests         |SERVER POOLED THREAD 8     |Serving multiple request: control -> {2 subrequests} on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,765|INFO |L.requests         |SERVER POOLED THREAD 8     |Subrequest 1: LS_mode=MERGE&LS_group=P_driver_1&LS_schema=TIME%20Speed%20Rpm%20Gear_output%20Distance&LS_data_adapter=TELEMETRY&LS_snapshot=true&LS_subId=2&LS_op=add&LS_reqId=3& LS_session:S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,765|INFO |L.requests         |SERVER POOLED THREAD 8     |Subrequest 2: LS_mode=DISTINCT&LS_group=chat_room&LS_schema=timestamp%20message%20IP%20nick&LS_data_adapter=CHAT&LS_snapshot=30&LS_subId=3&LS_op=add&LS_reqId=5& LS_session:S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,768|INFO |L.requests.messages|SERVER POOLED THREAD 7     |Sending message to session: S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,790|INFO |L.requests         |SERVER POOLED THREAD 9     |Serving request: control -> LS_mode=MERGE&LS_group=item1%20item2%20item3%20item4%20item5%20item6&LS_schema=stock_name%20last_price%20time%20pct_change%20min%20max&LS_data_adapter=STOCKS&LS_snapshot=true&LS_subId=1&LS_op=add&LS_reqId=1&LS_session=S43bac421f534b4f9M95dT1041250& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,799|INFO |L.requests         |SERVER POOLED THREAD 8     |Controlling session: S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,804|INFO |L.requests         |SERVER POOLED THREAD 9     |Controlling session: S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,804|INFO |L.requests         |SERVER POOLED THREAD 6     |Controlling session: S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,808|INFO |L.requests         |SERVER POOLED THREAD 10    |Serving request: control -> LS_mode=MERGE&LS_group=monitor_identification&LS_schema=EDITION%20LICENSE_TYPE&LS_snapshot=true&LS_subId=4&LS_op=add&LS_reqId=8&LS_session=Sd47e3249d5e9073aM95dT1041478& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:41,809|INFO |L.requests         |SERVER POOLED THREAD 10    |Controlling session: Sd47e3249d5e9073aM95dT1041478 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:41,829|INFO |L.requests         |SERVER POOLED THREAD 7     |Serving request: control -> LS_mode=COMMAND&LS_group=Players_list&LS_schema=command%20key%20nick%20msg%20usrAgnt%20posX%20posY%201Plot.SymbolName&LS_data_adapter=ROOMBALL&LS_snapshot=true&LS_subId=5&LS_op=add&LS_reqId=10& LS_session:S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,837|INFO |L.requests         |SERVER POOLED THREAD 7     |Controlling session: S43bac421f534b4f9M95dT1041250 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60067
23-May-21 21:10:41,929|INFO |L.requests         |SERVER POOLED THREAD 11    |Serving request: control -> LS_mode=MERGE&LS_group=monitor_details&LS_schema=MAX_SSNS%20IS_MPN%20EXP_DATE%20MAX_RATE%20BAND%20TLS%20JMX%20VAL_TYPE&LS_snapshot=true&LS_subId=6&LS_op=add&LS_reqId=12& LS_session:Sd47e3249d5e9073aM95dT1041478 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:41,931|INFO |L.requests         |SERVER POOLED THREAD 11    |Serving request: control -> LS_mode=COMMAND&LS_group=monitor_client_libs&LS_schema=key%20command%20lib_ext%20free%20demo%20eval%20startup%20noprod-lim%20noprod-full%20prod%20standby%20ordinal&LS_snapshot=true&LS_subId=7&LS_op=add&LS_reqId=14& LS_session:Sd47e3249d5e9073aM95dT1041478 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:41,933|INFO |L.requests         |SERVER POOLED THREAD 11    |Controlling session: Sd47e3249d5e9073aM95dT1041478 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:41,936|INFO |L.requests         |SERVER POOLED THREAD 5     |Controlling session: Sd47e3249d5e9073aM95dT1041478 on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60068
23-May-21 21:10:55,150|INFO |L.requests         |SERVER POOLED THREAD 6     |Serving request: /lightstreamer/create_session.txt?LS_protocol=TLCP-2.1.0 --> LS_phase=6301&LS_cause=new.failure.status0&LS_polling=true&LS_polling_millis=0&LS_idle_millis=0&LS_cid=pcYgxn8m8 feOojyA1U661h3g2.pz479oDy&LS_adapter_set=WELCOME& on "Lightstreamer HTTP Server" from 0:0:0:0:0:0:0:1:60063
